affiliationid,,email,match_score,,Rank,name,univer_ins,decision,result
uoe.ed.ac.uk,,ed.ac.uk,1,,472,University of Edinburgh,University of Edinburgh,TRUE,472
ebs.edhec.edu,,edhec.edu,0.841142518,,108,EDHEC Business School,London Business School,,
uotbc.ehu.es,,ehu.es,0.777037037,,440,University of the Basque Country,University of Houston,,
eu.elon.edu,,elon.edu,0.808333333,,404,Elon University,Clemson University,,
gwu.gwu.edu,,gwu.edu,1,,235,George Washington University,George Washington University,TRUE,235
uoncach.unc.edu,,unc.edu,0.687931086,,54,University of North Carolina at Chapel Hill,University of Southern California,,
eu.emory.edu,,emory.edu,1,,335,Emory University,Emory University,TRUE,335
edpp.enpc.fr,,enpc.fr,0.683285486,,212,Ecole des Ponts ParisTech,Economic and Social Research Institute,,
ep.ensae.fr,,ensae.fr,0.739138756,,415,ENSAE ParisTech,European University Institute,,
sfiotil.epfl.ch,,epfl.ch,0.837002775,,353,Swiss Federal Institute of Technology in Lausanne,Swiss Finance Institute,,
ebs.esade.edu,,esade.edu,0.866332498,,396,ESADE Business School,SKEMA Business School,,
ee.escpeurope.eu,,escpeurope.eu,0.671420083,,401,ESCP Europe,Central European University,,
eur.eur.nl,,eur.nl,0.897777778,,127,Erasmus University Rotterdam,Erasmus Universiteit Rotterdam,TRUE,127
ebs.essec.edu,,essec.edu,0.793650794,,396,ESSEC Business School,SKEMA Business School,,
uoe.essex.ac.uk,,essex.ac.uk,1,,241,University of Essex,University of Essex,TRUE,241
ez.ethz.ch,,ethz.ch,0.688888889,,24,ETH Zürich,Universität Zürich,,
eui.eui.eu,,eui.eu,1,,415,European University Institute,European University Institute,TRUE,415
uoe.exeter.ac.uk,,exeter.ac.uk,1,,260,University of Exeter,University of Exeter,TRUE,260
uol.uni.lu,,uni.lu,0.795959596,,117,University of Luxembourg,University of Melbourne,,
iu.ie.edu,,ie.edu,0.75625,,126,IE University,Imperial College,,
fu.fairfield.edu,,fairfield.edu,0.7,,406,Fairfield University,Griffith University,,
faao.fao.org,,fao.org,0.66894509,,54,Food and Agriculture Organization,University of Southern California,,
fau.fau.edu,,fau.edu,1,,460,Florida Atlantic University,Florida Atlantic University,TRUE,460
fgcu.fgcu.edu,,fgcu.edu,0.859014051,,460,Florida Gulf Coast University,Florida Atlantic University,,
nioph.fhi.no,,fhi.no,0.765220331,,78,Norwegian Institute of Public Health,Beijing Institute of Technology,,
guf.uni-frankfurt.de,,uni-frankfurt.de,0.847385621,,122,Goethe University Frankfurt,Goethe Universität Frankfurt am Main,,
osu.osu.edu,,osu.edu,1,,264,Ohio State University,Ohio State University,TRUE,264
run.ru.nl,,ru.nl,0.671957672,,296,"Radboud University, Nijmegen",Xiamen University,,
uob.bg.ac.rs,,bg.ac.rs,0.822645503,,416,University of Belgrade,University of Alberta,,
fu.fordham.edu,,fordham.edu,0.730882353,,460,Fordham University,Florida Atlantic University,,
ufrb.frb.gov,,frb.gov,0.847222222,,10,US Federal Reserve Board,Federal Reserve Board,TRUE,10
fsof&m.fs.de,,fs.de,0.95811522,,523,Frankfurt School of Finance & Management,Frankfurt School of Finance and Management,TRUE,523
cuip.cuni.cz,,cuni.cz,0.730693816,,401,Charles University in Prague,Central European University,,
fu.fudan.edu.cn,,fudan.edu.cn,0.746031746,,140,Fudan University,Deakin University,,
uok.uky.edu,,uky.edu,1,,321,University of Kentucky,University of Kentucky,TRUE,321
gc.gcsu.edu,,gcsu.edu,0.848571429,,176,Georgia College,Georgia State University,,
gu.georgetown.edu,,georgetown.edu,1,,155,Georgetown University,Georgetown University,TRUE,155
uog.gla.ac.uk,,gla.ac.uk,1,,169,University of Glasgow,University of Glasgow,TRUE,169
sut.scu.edu.tw,,scu.edu.tw,0.68994709,,286,"Soochow University, Taipei",University of Piraeus,,
gmu.gmu.edu,,gmu.edu,1,,253,George Mason University,George Mason University,TRUE,253
gi.google.com,,google.com,0.653391053,,255,Google Inc.,University College Dublin,,
gioiads.graduateinstitute.ch,,graduateinstitute.ch,0.826095293,,289,Graduate Institute of International and Development Studies,The Graduate Institute of International and Development Studies,TRUE,289
gu.griffith.edu.au,,griffith.edu.au,1,,406,Griffith University,Griffith University,TRUE,406
gc.grinnell.edu,,grinnell.edu,0.791666667,,371,Grinnell College,Williams College,,
ngifps.grips.ac.jp,,grips.ac.jp,1,,483,National Graduate Institute for Policy Studies,National Graduate Institute for Policy Studies,TRUE,483
pu.pku.edu.cn,,pku.edu.cn,1,,465,Peking University,Peking University,TRUE,465
gsu.gsu.edu,,gsu.edu,1,,176,Georgia State University,Georgia State University,TRUE,176
hsoe.hanken.fi,,hanken.fi,0.802409102,,12,Hanken School of Economics,Paris School of Economics,,
uoh.hawaii.edu,,hawaii.edu,0.782222222,,73,University of Hawaii,University of Michigan,,
uob.uni-bonn.de,,uni-bonn.de,0.81010101,,117,University of Bonn,University of Melbourne,,
