,DOI,authorId,name,paperCount,citationCount,hIndex
6546,10.1257/aer.p20171134,2570943,Chandini Sankaran,13.0,75.0,4.0
6547,10.1257/aer.p20171142,40560456,B. Archibong,37.0,161.0,6.0
6548,10.1257/aer.p20171142,40384269,Francis Annan,37.0,281.0,6.0
6549,10.1257/aer.p20171145,23526118,V. Bogan,51.0,952.0,14.0
6550,10.1257/aer.p20171145,152171418,Jose M. Fernandez,30.0,143.0,7.0
6551,10.1257/aer.p20171146,2782990,Roland Pongou,99.0,1022.0,15.0
6552,10.1257/aer.p20171146,6953990,B. Kuate Defo,47.0,19818.0,23.0
6553,10.1257/aer.p20171146,4472507,Zacharie Tsala Dimbuene,7.0,127.0,5.0
6554,10.1257/aer.p20171000,79986278,Jonathan M. V. Davis,25.0,487.0,11.0
6555,10.1257/aer.p20171000,50330290,Sara B. Heller,24.0,658.0,6.0
6556,10.1257/aer.p20171001,3802711,Crystal S. Yang,24.0,1076.0,12.0
6557,10.1257/aer.p20171002,52181002,Jennifer L. Doleac,43.0,1091.0,16.0
6558,10.1257/aer.p20171002,50231859,Benjamin C. Hansen,60.0,2076.0,21.0
6559,10.1257/aer.p20171003,104617376,Amanda Y. Agan,23.0,469.0,10.0
6560,10.1257/aer.p20171003,48930937,Sonja B. Starr,33.0,1201.0,14.0
6561,10.1257/aer.p20171088,98297403,Jacob Moscona,29.0,236.0,6.0
6562,10.1257/aer.p20171088,16044566,Nathan Nunn,110.0,12804.0,40.0
6563,10.1257/aer.p20171088,31143650,James A. Robinson,287.0,53070.0,67.0
6564,10.1257/aer.p20171089,47824203,S. Naidu,111.0,4353.0,26.0
6565,10.1257/aer.p20171089,3154051,Sung-Ha Hwang,59.0,650.0,11.0
6566,10.1257/aer.p20171089,2653751,S. Bowles,385.0,41911.0,86.0
6567,10.1257/aer.p20171090,51218838,Sarah Mathew,38.0,1318.0,15.0
6568,10.1257/aer.p20171091,16044566,Nathan Nunn,110.0,12804.0,40.0
